: , RegressionTest0::test1 , RegressionTest0::test2 , RegressionTest0::test3 , RegressionTest0::test4 , RegressionTest0::test5 , RegressionTest0::test6 , RegressionTest0::test7 , RegressionTest0::test8 , RegressionTest0::test9 , SimplexTableauTest::testInitialization , SimplexTableauTest::testDropPhase1Objective , SimplexTableauTest::testTableauWithNoArtificialVars , SimplexTableauTest::testSerial , SimplexSolverTest::testMath781 , SimplexSolverTest::testMath713NegativeVariable , SimplexSolverTest::testMath434NegativeVariable , SimplexSolverTest::testMath434UnfeasibleSolution , SimplexSolverTest::testMath434PivotRowSelection , SimplexSolverTest::testMath434PivotRowSelection2 , SimplexSolverTest::testMath272 , SimplexSolverTest::testMath286 , SimplexSolverTest::testDegeneracy , SimplexSolverTest::testMath288 , SimplexSolverTest::testMath290GEQ , SimplexSolverTest::testMath290LEQ , SimplexSolverTest::testMath293 , SimplexSolverTest::testSimplexSolver , SimplexSolverTest::testSingleVariableAndConstraint , SimplexSolverTest::testModelWithNoArtificialVars , SimplexSolverTest::testMinimization , SimplexSolverTest::testSolutionWithNegativeDecisionVariable , SimplexSolverTest::testInfeasibleSolution , SimplexSolverTest::testUnboundedSolution , SimplexSolverTest::testRestrictVariablesToNonNegative , SimplexSolverTest::testEpsilon , SimplexSolverTest::testTrivialModel , SimplexSolverTest::testLargeModel , SimplexTableau_ESTest::test00 , SimplexTableau_ESTest::test01 , SimplexTableau_ESTest::test02 , SimplexTableau_ESTest::test03 , SimplexTableau_ESTest::test04 , SimplexTableau_ESTest::test05 , SimplexTableau_ESTest::test06 , SimplexTableau_ESTest::test07 , SimplexTableau_ESTest::test08 , SimplexTableau_ESTest::test09 , SimplexTableau_ESTest::test10 , SimplexTableau_ESTest::test11 , SimplexTableau_ESTest::test12 , SimplexTableau_ESTest::test13 , SimplexTableau_ESTest::test14 , SimplexTableau_ESTest::test15 , SimplexTableau_ESTest::test16 , SimplexTableau_ESTest::test17 , SimplexTableau_ESTest::test18 , SimplexTableau_ESTest::test19 , SimplexTableau_ESTest::test20 , SimplexTableau_ESTest::test21 , SimplexTableau_ESTest::test22 , SimplexTableau_ESTest::test23 , SimplexTableau_ESTest::test24 , SimplexTableau_ESTest::test25 , SimplexTableau_ESTest::test26 , 
SimplexSolverTest::testLargeModel , 24127 , 23174 , 26829 , 25098 , 26308 , 20060 , 22731 , 26190 , 21672 , 24309 , 25192 , 24217 , 26961 , 25008 , 26102 , 25637 , 26180 , 25965 , 22258 , 25311 , 23370 , 25840 , 24763 , 26142 , 26548 , 21262 , 25604 , 26371 , 25608 , 25598 , 25871 , 26432 , 26546 , 23876 , 25289 , 26420 , 0 , 26779 , 26553 , 26527 , 26447 , 26803 , 26472 , 26606 , 26487 , 26823 , 26577 , 26755 , 26705 , 26704 , 26447 , 26705 , 26780 , 26596 , 26734 , 26736 , 26586 , 26408 , 26361 , 26329 , 26513 , 26582 , 26487 , 26555 , 
SimplexTableau_ESTest::test00 , 3127 , 4557 , 323 , 1840 , 665 , 10063 , 5068 , 736 , 6784 , 2799 , 1765 , 3053 , 274 , 1942 , 807 , 1256 , 745 , 941 , 5813 , 1594 , 4066 , 1067 , 2229 , 754 , 397 , 7816 , 1313 , 550 , 1294 , 1317 , 1025 , 507 , 393 , 3435 , 1649 , 513 , 26779 , 0 , 328 , 400 , 402 , 115 , 412 , 222 , 373 , 54 , 298 , 93 , 146 , 150 , 411 , 148 , 62 , 212 , 118 , 142 , 249 , 397 , 475 , 508 , 294 , 220 , 317 , 262 , 
SimplexTableau_ESTest::test01 , 2950 , 4377 , 482 , 1681 , 590 , 9843 , 4886 , 660 , 6588 , 2648 , 1658 , 2890 , 482 , 1786 , 693 , 1126 , 662 , 821 , 5614 , 1449 , 3881 , 938 , 2062 , 653 , 428 , 7601 , 1178 , 464 , 1169 , 1177 , 915 , 417 , 417 , 3254 , 1501 , 467 , 26553 , 328 , 0 , 430 , 373 , 361 , 261 , 383 , 366 , 349 , 416 , 293 , 283 , 277 , 371 , 279 , 324 , 300 , 308 , 279 , 295 , 396 , 428 , 443 , 324 , 313 , 344 , 316 , 
SimplexTableau_ESTest::test02 , 2904 , 4343 , 461 , 1682 , 519 , 9813 , 4855 , 598 , 6557 , 2652 , 1674 , 2877 , 534 , 1801 , 741 , 1147 , 693 , 858 , 5616 , 1478 , 3885 , 968 , 2088 , 702 , 497 , 7588 , 1189 , 564 , 1175 , 1206 , 943 , 537 , 498 , 3257 , 1518 , 536 , 26527 , 400 , 430 , 0 , 456 , 430 , 442 , 369 , 432 , 429 , 419 , 411 , 394 , 392 , 452 , 394 , 439 , 320 , 401 , 424 , 357 , 406 , 473 , 501 , 322 , 323 , 368 , 363 , 
SimplexTableau_ESTest::test03 , 2869 , 4281 , 580 , 1605 , 578 , 9738 , 4787 , 611 , 6482 , 2586 , 1609 , 2818 , 588 , 1717 , 693 , 1085 , 613 , 767 , 5521 , 1393 , 3804 , 911 , 1994 , 624 , 470 , 7501 , 1124 , 495 , 1122 , 1131 , 875 , 514 , 483 , 3169 , 1441 , 480 , 26447 , 402 , 373 , 456 , 0 , 430 , 391 , 231 , 142 , 419 , 316 , 386 , 295 , 290 , 175 , 289 , 422 , 275 , 385 , 387 , 298 , 309 , 354 , 371 , 321 , 293 , 258 , 294 , 
SimplexTableau_ESTest::test04 , 3151 , 4576 , 313 , 1863 , 676 , 10087 , 5093 , 752 , 6808 , 2815 , 1776 , 3072 , 272 , 1971 , 827 , 1276 , 738 , 969 , 5835 , 1621 , 4087 , 1080 , 2243 , 778 , 407 , 7838 , 1335 , 555 , 1327 , 1342 , 1050 , 503 , 394 , 3462 , 1671 , 519 , 26803 , 115 , 361 , 430 , 430 , 0 , 443 , 274 , 395 , 74 , 288 , 139 , 189 , 186 , 435 , 184 , 124 , 258 , 160 , 183 , 282 , 445 , 509 , 542 , 340 , 270 , 365 , 303 , 
SimplexTableau_ESTest::test05 , 2874 , 4305 , 568 , 1611 , 592 , 9763 , 4795 , 649 , 6496 , 2609 , 1607 , 2845 , 571 , 1729 , 675 , 1101 , 651 , 811 , 5544 , 1415 , 3817 , 942 , 2020 , 660 , 494 , 7527 , 1153 , 490 , 1151 , 1154 , 903 , 485 , 495 , 3195 , 1446 , 466 , 26472 , 412 , 261 , 442 , 391 , 443 , 0 , 406 , 362 , 432 , 399 , 385 , 333 , 336 , 385 , 334 , 421 , 354 , 393 , 380 , 369 , 364 , 443 , 471 , 386 , 355 , 319 , 357 , 
SimplexTableau_ESTest::test06 , 2987 , 4413 , 439 , 1707 , 620 , 9894 , 4921 , 667 , 6622 , 2696 , 1687 , 2928 , 440 , 1821 , 737 , 1168 , 692 , 857 , 5668 , 1488 , 3933 , 976 , 2107 , 680 , 409 , 7647 , 1213 , 506 , 1201 , 1217 , 951 , 479 , 416 , 3304 , 1538 , 488 , 26606 , 222 , 383 , 369 , 231 , 274 , 406 , 0 , 327 , 252 , 220 , 237 , 287 , 284 , 348 , 284 , 265 , 206 , 232 , 276 , 243 , 315 , 389 , 424 , 253 , 215 , 245 , 265 , 
SimplexTableau_ESTest::test07 , 2897 , 4311 , 544 , 1633 , 579 , 9775 , 4821 , 619 , 6517 , 2615 , 1628 , 2850 , 548 , 1747 , 699 , 1095 , 646 , 794 , 5558 , 1407 , 3829 , 930 , 2021 , 623 , 452 , 7538 , 1134 , 478 , 1138 , 1148 , 891 , 494 , 456 , 3198 , 1463 , 453 , 26487 , 373 , 366 , 432 , 142 , 395 , 362 , 327 , 0 , 383 , 263 , 344 , 258 , 254 , 48 , 252 , 386 , 272 , 363 , 359 , 289 , 328 , 325 , 358 , 338 , 288 , 280 , 227 , 
SimplexTableau_ESTest::test08 , 3171 , 4599 , 306 , 1874 , 674 , 10109 , 5113 , 765 , 6829 , 2832 , 1797 , 3093 , 257 , 1979 , 829 , 1286 , 760 , 972 , 5857 , 1627 , 4103 , 1095 , 2254 , 779 , 406 , 7861 , 1349 , 565 , 1334 , 1347 , 1059 , 524 , 409 , 3472 , 1683 , 536 , 26823 , 54 , 349 , 429 , 419 , 74 , 432 , 252 , 383 , 0 , 316 , 105 , 158 , 160 , 423 , 158 , 84 , 241 , 131 , 157 , 282 , 433 , 513 , 549 , 321 , 254 , 351 , 294 , 
SimplexTableau_ESTest::test09 , 2967 , 4394 , 473 , 1694 , 621 , 9870 , 4899 , 696 , 6598 , 2659 , 1647 , 2904 , 468 , 1799 , 700 , 1127 , 661 , 843 , 5641 , 1464 , 3905 , 968 , 2075 , 671 , 426 , 7622 , 1199 , 514 , 1172 , 1188 , 918 , 472 , 437 , 3276 , 1508 , 481 , 26577 , 298 , 416 , 419 , 316 , 288 , 399 , 220 , 263 , 316 , 0 , 312 , 353 , 351 , 304 , 350 , 325 , 268 , 305 , 337 , 297 , 355 , 384 , 376 , 320 , 276 , 312 , 233 , 
SimplexTableau_ESTest::test10 , 3109 , 4541 , 331 , 1818 , 645 , 10041 , 5052 , 713 , 6761 , 2792 , 1766 , 3043 , 288 , 1934 , 794 , 1243 , 736 , 936 , 5790 , 1585 , 4041 , 1053 , 2208 , 736 , 387 , 7792 , 1297 , 533 , 1292 , 1308 , 1020 , 502 , 386 , 3420 , 1633 , 495 , 26755 , 93 , 293 , 411 , 386 , 139 , 385 , 237 , 344 , 105 , 312 , 0 , 115 , 122 , 384 , 120 , 57 , 228 , 34 , 93 , 192 , 421 , 422 , 453 , 308 , 244 , 338 , 274 , 
SimplexTableau_ESTest::test11 , 3071 , 4493 , 371 , 1795 , 631 , 9989 , 4996 , 714 , 6711 , 2749 , 1733 , 3002 , 342 , 1890 , 756 , 1201 , 720 , 895 , 5742 , 1545 , 4003 , 1018 , 2164 , 712 , 386 , 7745 , 1259 , 520 , 1245 , 1266 , 972 , 493 , 383 , 3374 , 1602 , 485 , 26705 , 146 , 283 , 394 , 295 , 189 , 333 , 287 , 258 , 158 , 353 , 115 , 0 , 8 , 297 , 6 , 164 , 259 , 140 , 122 , 278 , 395 , 459 , 493 , 339 , 273 , 345 , 290 , 
SimplexTableau_ESTest::test12 , 3071 , 4491 , 372 , 1792 , 631 , 9988 , 4996 , 714 , 6711 , 2747 , 1729 , 2999 , 343 , 1890 , 757 , 1201 , 717 , 897 , 5742 , 1545 , 4002 , 1018 , 2161 , 713 , 384 , 7744 , 1258 , 522 , 1244 , 1266 , 971 , 490 , 381 , 3373 , 1602 , 487 , 26704 , 150 , 277 , 392 , 290 , 186 , 336 , 284 , 254 , 160 , 351 , 122 , 8 , 0 , 295 , 2 , 167 , 261 , 141 , 128 , 281 , 399 , 463 , 497 , 340 , 277 , 350 , 293 , 
SimplexTableau_ESTest::test13 , 2865 , 4275 , 579 , 1601 , 563 , 9735 , 4785 , 606 , 6482 , 2590 , 1610 , 2825 , 578 , 1720 , 679 , 1081 , 627 , 790 , 5519 , 1389 , 3799 , 907 , 1998 , 616 , 479 , 7507 , 1114 , 487 , 1120 , 1131 , 875 , 499 , 483 , 3160 , 1432 , 452 , 26447 , 411 , 371 , 452 , 175 , 435 , 385 , 348 , 48 , 423 , 304 , 384 , 297 , 295 , 0 , 293 , 421 , 276 , 373 , 381 , 293 , 332 , 326 , 364 , 329 , 292 , 287 , 231 , 
SimplexTableau_ESTest::test14 , 3072 , 4492 , 371 , 1793 , 630 , 9989 , 4996 , 714 , 6711 , 2747 , 1731 , 3000 , 342 , 1891 , 758 , 1201 , 717 , 897 , 5743 , 1546 , 4004 , 1018 , 2162 , 713 , 384 , 7745 , 1259 , 522 , 1244 , 1266 , 971 , 490 , 381 , 3374 , 1601 , 487 , 26705 , 148 , 279 , 394 , 289 , 184 , 334 , 284 , 252 , 158 , 350 , 120 , 6 , 2 , 293 , 0 , 165 , 262 , 143 , 126 , 282 , 399 , 463 , 497 , 341 , 277 , 349 , 294 , 
SimplexTableau_ESTest::test15 , 3134 , 4566 , 321 , 1843 , 666 , 10067 , 5076 , 738 , 6789 , 2799 , 1774 , 3052 , 269 , 1955 , 814 , 1262 , 743 , 950 , 5817 , 1605 , 4066 , 1074 , 2232 , 761 , 396 , 7818 , 1318 , 554 , 1311 , 1327 , 1035 , 509 , 394 , 3440 , 1656 , 517 , 26780 , 62 , 324 , 439 , 422 , 124 , 421 , 265 , 386 , 84 , 325 , 57 , 164 , 167 , 421 , 165 , 0 , 249 , 77 , 136 , 214 , 440 , 442 , 475 , 337 , 267 , 358 , 295 , 
SimplexTableau_ESTest::test16 , 2964 , 4406 , 458 , 1700 , 586 , 9880 , 4909 , 627 , 6609 , 2677 , 1666 , 2921 , 439 , 1810 , 708 , 1141 , 654 , 844 , 5654 , 1472 , 3916 , 953 , 2090 , 657 , 423 , 7636 , 1187 , 470 , 1181 , 1197 , 923 , 460 , 422 , 3286 , 1521 , 435 , 26596 , 212 , 300 , 320 , 275 , 258 , 354 , 206 , 272 , 241 , 268 , 228 , 259 , 261 , 276 , 262 , 249 , 0 , 208 , 250 , 69 , 234 , 310 , 344 , 94 , 35 , 144 , 94 , 
SimplexTableau_ESTest::test17 , 3092 , 4524 , 345 , 1802 , 644 , 10021 , 5031 , 698 , 6741 , 2775 , 1749 , 3027 , 301 , 1919 , 781 , 1227 , 735 , 923 , 5772 , 1569 , 4023 , 1036 , 2196 , 729 , 392 , 7772 , 1288 , 529 , 1275 , 1293 , 1008 , 506 , 391 , 3401 , 1620 , 484 , 26734 , 118 , 308 , 401 , 385 , 160 , 393 , 232 , 363 , 131 , 305 , 34 , 140 , 141 , 373 , 143 , 77 , 208 , 0 , 91 , 170 , 398 , 396 , 432 , 290 , 222 , 314 , 258 , 
SimplexTableau_ESTest::test18 , 3095 , 4525 , 348 , 1804 , 644 , 10018 , 5028 , 695 , 6744 , 2779 , 1745 , 3031 , 293 , 1916 , 773 , 1233 , 739 , 927 , 5769 , 1572 , 4026 , 1044 , 2195 , 732 , 382 , 7772 , 1287 , 532 , 1281 , 1291 , 1007 , 496 , 382 , 3398 , 1624 , 475 , 26736 , 142 , 279 , 424 , 387 , 183 , 380 , 276 , 359 , 157 , 337 , 93 , 122 , 128 , 381 , 126 , 136 , 250 , 91 , 0 , 237 , 419 , 470 , 503 , 334 , 262 , 359 , 292 , 
SimplexTableau_ESTest::test19 , 2967 , 4403 , 461 , 1694 , 578 , 9872 , 4903 , 622 , 6603 , 2675 , 1662 , 2922 , 444 , 1811 , 703 , 1138 , 655 , 843 , 5642 , 1467 , 3900 , 952 , 2090 , 652 , 419 , 7629 , 1187 , 470 , 1179 , 1189 , 915 , 458 , 422 , 3279 , 1517 , 428 , 26586 , 249 , 295 , 357 , 298 , 282 , 369 , 243 , 289 , 282 , 297 , 192 , 278 , 281 , 293 , 282 , 214 , 69 , 170 , 237 , 0 , 272 , 272 , 307 , 149 , 64 , 195 , 119 , 
SimplexTableau_ESTest::test20 , 2807 , 4247 , 620 , 1567 , 545 , 9700 , 4736 , 562 , 6436 , 2549 , 1574 , 2785 , 627 , 1682 , 632 , 1048 , 631 , 751 , 5505 , 1362 , 3763 , 867 , 1976 , 608 , 519 , 7469 , 1085 , 455 , 1082 , 1100 , 834 , 512 , 519 , 3133 , 1406 , 482 , 26408 , 397 , 396 , 406 , 309 , 445 , 364 , 315 , 328 , 433 , 355 , 421 , 395 , 399 , 332 , 399 , 440 , 234 , 398 , 419 , 272 , 0 , 207 , 241 , 218 , 237 , 119 , 251 , 
SimplexTableau_ESTest::test21 , 2780 , 4216 , 662 , 1544 , 546 , 9658 , 4701 , 581 , 6408 , 2532 , 1566 , 2770 , 665 , 1660 , 640 , 1042 , 631 , 761 , 5460 , 1346 , 3721 , 854 , 1953 , 605 , 558 , 7428 , 1085 , 505 , 1075 , 1084 , 832 , 523 , 572 , 3097 , 1391 , 530 , 26361 , 475 , 428 , 473 , 354 , 509 , 443 , 389 , 325 , 513 , 384 , 422 , 459 , 463 , 326 , 463 , 442 , 310 , 396 , 470 , 272 , 207 , 0 , 72 , 303 , 311 , 226 , 332 , 
SimplexTableau_ESTest::test22 , 2759 , 4194 , 694 , 1524 , 561 , 9628 , 4679 , 597 , 6378 , 2513 , 1556 , 2743 , 698 , 1641 , 616 , 1026 , 644 , 750 , 5433 , 1333 , 3698 , 845 , 1934 , 599 , 590 , 7398 , 1074 , 512 , 1062 , 1066 , 817 , 550 , 596 , 3070 , 1371 , 552 , 26329 , 508 , 443 , 501 , 371 , 542 , 471 , 424 , 358 , 549 , 376 , 453 , 493 , 497 , 364 , 497 , 475 , 344 , 432 , 503 , 307 , 241 , 72 , 0 , 315 , 344 , 263 , 338 , 
SimplexTableau_ESTest::test23 , 2891 , 4332 , 524 , 1636 , 555 , 9799 , 4831 , 580 , 6530 , 2617 , 1620 , 2865 , 520 , 1738 , 669 , 1087 , 628 , 784 , 5581 , 1411 , 3845 , 924 , 2043 , 614 , 438 , 7556 , 1132 , 433 , 1120 , 1138 , 875 , 476 , 437 , 3212 , 1460 , 460 , 26513 , 294 , 324 , 322 , 321 , 340 , 386 , 253 , 338 , 321 , 320 , 308 , 339 , 340 , 329 , 341 , 337 , 94 , 290 , 334 , 149 , 218 , 303 , 315 , 0 , 114 , 184 , 175 , 
SimplexTableau_ESTest::test24 , 2955 , 4394 , 469 , 1692 , 585 , 9868 , 4896 , 628 , 6595 , 2666 , 1657 , 2913 , 452 , 1798 , 703 , 1136 , 650 , 833 , 5640 , 1468 , 3901 , 947 , 2082 , 654 , 428 , 7620 , 1186 , 466 , 1176 , 1189 , 919 , 462 , 430 , 3274 , 1517 , 426 , 26582 , 220 , 313 , 323 , 293 , 270 , 355 , 215 , 288 , 254 , 276 , 244 , 273 , 277 , 292 , 277 , 267 , 35 , 222 , 262 , 64 , 237 , 311 , 344 , 114 , 0 , 159 , 107 , 
SimplexTableau_ESTest::test25 , 2870 , 4312 , 551 , 1620 , 554 , 9776 , 4810 , 585 , 6513 , 2605 , 1607 , 2839 , 548 , 1729 , 664 , 1083 , 640 , 799 , 5565 , 1399 , 3824 , 898 , 2021 , 621 , 456 , 7534 , 1120 , 473 , 1112 , 1124 , 875 , 481 , 471 , 3195 , 1451 , 445 , 26487 , 317 , 344 , 368 , 258 , 365 , 319 , 245 , 280 , 351 , 312 , 338 , 345 , 350 , 287 , 349 , 358 , 144 , 314 , 359 , 195 , 119 , 226 , 263 , 184 , 159 , 0 , 179 , 
SimplexTableau_ESTest::test26 , 2941 , 4369 , 491 , 1671 , 582 , 9847 , 4877 , 623 , 6573 , 2648 , 1642 , 2893 , 472 , 1782 , 694 , 1123 , 654 , 834 , 5621 , 1445 , 3887 , 934 , 2064 , 655 , 431 , 7599 , 1166 , 485 , 1161 , 1165 , 903 , 470 , 425 , 3255 , 1492 , 446 , 26555 , 262 , 316 , 363 , 294 , 303 , 357 , 265 , 227 , 294 , 233 , 274 , 290 , 293 , 231 , 294 , 295 , 94 , 258 , 292 , 119 , 251 , 332 , 338 , 175 , 107 , 179 , 0 , 
The time of execution of above matrix is :85684.74888801575
