: , SimplexTableauTest::testInitialization , SimplexTableauTest::testDropPhase1Objective , SimplexTableauTest::testTableauWithNoArtificialVars , SimplexTableauTest::testSerial , SimplexSolverTest::testMath781 , SimplexSolverTest::testMath713NegativeVariable , SimplexSolverTest::testMath434NegativeVariable , SimplexSolverTest::testMath434UnfeasibleSolution , SimplexSolverTest::testMath434PivotRowSelection , SimplexSolverTest::testMath434PivotRowSelection2 , SimplexSolverTest::testMath272 , SimplexSolverTest::testMath286 , SimplexSolverTest::testDegeneracy , SimplexSolverTest::testMath288 , SimplexSolverTest::testMath290GEQ , SimplexSolverTest::testMath290LEQ , SimplexSolverTest::testMath293 , SimplexSolverTest::testSimplexSolver , SimplexSolverTest::testSingleVariableAndConstraint , SimplexSolverTest::testModelWithNoArtificialVars , SimplexSolverTest::testMinimization , SimplexSolverTest::testSolutionWithNegativeDecisionVariable , SimplexSolverTest::testInfeasibleSolution , SimplexSolverTest::testUnboundedSolution , SimplexSolverTest::testRestrictVariablesToNonNegative , SimplexSolverTest::testEpsilon , SimplexSolverTest::testTrivialModel , SimplexSolverTest::testLargeModel , SimplexTableau_ESTest::test00 , SimplexTableau_ESTest::test01 , SimplexTableau_ESTest::test02 , SimplexTableau_ESTest::test03 , SimplexTableau_ESTest::test04 , SimplexTableau_ESTest::test05 , SimplexTableau_ESTest::test06 , SimplexTableau_ESTest::test07 , SimplexTableau_ESTest::test08 , SimplexTableau_ESTest::test09 , SimplexTableau_ESTest::test10 , SimplexTableau_ESTest::test11 , SimplexTableau_ESTest::test12 , SimplexTableau_ESTest::test13 , SimplexTableau_ESTest::test14 , SimplexTableau_ESTest::test15 , SimplexTableau_ESTest::test16 , SimplexTableau_ESTest::test17 , SimplexTableau_ESTest::test18 , SimplexTableau_ESTest::test19 , SimplexTableau_ESTest::test20 , SimplexTableau_ESTest::test21 , SimplexTableau_ESTest::test22 , SimplexTableau_ESTest::test23 , SimplexTableau_ESTest::test24 , SimplexTableau_ESTest::test25 , SimplexTableau_ESTest::test26 , RegressionTest0::test1 , RegressionTest0::test2 , RegressionTest0::test3 , RegressionTest0::test4 , RegressionTest0::test5 , RegressionTest0::test6 , RegressionTest0::test7 , RegressionTest0::test8 , RegressionTest0::test9 , 
SimplexTableau_ESTest::test12 , 445 , 401 , 532 , 344 , 646 , 432 , 513 , 404 , 475 , 1427 , 571 , 997 , 469 , 599 , 420 , 350 , 1950 , 499 , 368 , 505 , 501 , 462 , 360 , 347 , 1021 , 554 , 359 , 8819 , 124 , 214 , 432 , 220 , 110 , 212 , 340 , 183 , 103 , 314 , 79 , 50 , 0 , 220 , 3 , 120 , 225 , 114 , 143 , 230 , 382 , 403 , 435 , 239 , 232 , 324 , 268 , 3036 , 3356 , 414 , 1779 , 779 , 8526 , 4391 , 909 , 5692 , 
SimplexTableau_ESTest::test13 , 569 , 525 , 520 , 544 , 648 , 509 , 515 , 456 , 494 , 1316 , 576 , 937 , 486 , 574 , 506 , 504 , 1852 , 509 , 482 , 507 , 515 , 488 , 481 , 503 , 947 , 556 , 490 , 8673 , 335 , 421 , 490 , 166 , 323 , 412 , 312 , 40 , 304 , 183 , 292 , 263 , 220 , 0 , 218 , 331 , 288 , 323 , 354 , 288 , 387 , 300 , 333 , 284 , 293 , 333 , 288 , 2894 , 3217 , 559 , 1706 , 763 , 8360 , 4256 , 895 , 5545 , 
SimplexTableau_ESTest::test14 , 445 , 401 , 532 , 344 , 646 , 432 , 513 , 404 , 475 , 1427 , 572 , 998 , 469 , 600 , 420 , 350 , 1950 , 499 , 368 , 505 , 501 , 462 , 360 , 347 , 1021 , 554 , 359 , 8819 , 122 , 216 , 433 , 218 , 107 , 210 , 340 , 181 , 101 , 312 , 77 , 48 , 3 , 218 , 0 , 118 , 223 , 116 , 141 , 232 , 380 , 405 , 438 , 241 , 233 , 322 , 268 , 3034 , 3355 , 414 , 1778 , 777 , 8524 , 4391 , 911 , 5691 , 
SimplexTableau_ESTest::test15 , 429 , 389 , 536 , 318 , 680 , 429 , 527 , 401 , 475 , 1467 , 598 , 1032 , 451 , 617 , 424 , 318 , 1988 , 521 , 360 , 528 , 523 , 476 , 344 , 312 , 1050 , 580 , 330 , 8864 , 56 , 238 , 447 , 335 , 61 , 241 , 302 , 298 , 59 , 276 , 73 , 95 , 120 , 331 , 118 , 0 , 208 , 94 , 140 , 212 , 388 , 404 , 438 , 260 , 214 , 315 , 253 , 3075 , 3405 , 412 , 1830 , 806 , 8579 , 4447 , 939 , 5745 , 
SimplexTableau_ESTest::test16 , 477 , 439 , 539 , 448 , 659 , 469 , 528 , 422 , 484 , 1415 , 598 , 985 , 496 , 630 , 471 , 427 , 1908 , 540 , 438 , 540 , 544 , 482 , 429 , 426 , 1007 , 590 , 425 , 8750 , 213 , 341 , 423 , 308 , 224 , 342 , 318 , 261 , 212 , 261 , 178 , 207 , 225 , 288 , 223 , 208 , 0 , 158 , 241 , 56 , 239 , 238 , 279 , 114 , 56 , 116 , 101 , 2991 , 3310 , 488 , 1753 , 764 , 8458 , 4346 , 895 , 5630 , 
SimplexTableau_ESTest::test17 , 429 , 379 , 526 , 337 , 661 , 419 , 516 , 404 , 474 , 1451 , 578 , 1009 , 471 , 616 , 416 , 343 , 1964 , 514 , 366 , 520 , 516 , 468 , 353 , 338 , 1026 , 566 , 353 , 8828 , 98 , 234 , 425 , 321 , 103 , 231 , 316 , 295 , 90 , 304 , 52 , 85 , 114 , 323 , 116 , 94 , 158 , 0 , 118 , 165 , 338 , 329 , 367 , 206 , 167 , 269 , 208 , 3047 , 3367 , 414 , 1798 , 801 , 8542 , 4412 , 925 , 5708 , 
SimplexTableau_ESTest::test18 , 431 , 399 , 531 , 335 , 664 , 436 , 525 , 421 , 482 , 1444 , 581 , 1011 , 460 , 614 , 425 , 348 , 1966 , 507 , 372 , 512 , 510 , 469 , 360 , 344 , 1031 , 565 , 354 , 8829 , 147 , 172 , 468 , 356 , 130 , 206 , 368 , 321 , 134 , 345 , 102 , 105 , 143 , 354 , 141 , 140 , 241 , 118 , 0 , 242 , 400 , 432 , 468 , 277 , 246 , 346 , 283 , 3029 , 3343 , 417 , 1801 , 785 , 8533 , 4404 , 910 , 5701 , 
SimplexTableau_ESTest::test19 , 482 , 440 , 544 , 454 , 660 , 473 , 523 , 428 , 479 , 1409 , 596 , 989 , 494 , 628 , 474 , 435 , 1909 , 538 , 437 , 538 , 541 , 478 , 435 , 432 , 1010 , 589 , 428 , 8745 , 217 , 343 , 423 , 316 , 232 , 347 , 328 , 262 , 220 , 273 , 190 , 209 , 230 , 288 , 232 , 212 , 56 , 165 , 242 , 0 , 237 , 241 , 274 , 117 , 10 , 156 , 97 , 2994 , 3314 , 494 , 1755 , 768 , 8459 , 4343 , 892 , 5631 , 
SimplexTableau_ESTest::test20 , 587 , 573 , 585 , 603 , 709 , 562 , 578 , 548 , 572 , 1373 , 649 , 988 , 561 , 645 , 573 , 585 , 1848 , 597 , 556 , 597 , 602 , 567 , 560 , 578 , 1004 , 637 , 568 , 8641 , 377 , 499 , 521 , 399 , 388 , 468 , 395 , 356 , 387 , 341 , 356 , 375 , 382 , 387 , 380 , 388 , 239 , 338 , 400 , 237 , 0 , 228 , 248 , 283 , 242 , 148 , 272 , 2920 , 3247 , 624 , 1685 , 787 , 8349 , 4241 , 922 , 5527 , 
SimplexTableau_ESTest::test21 , 612 , 603 , 583 , 628 , 704 , 590 , 596 , 550 , 585 , 1319 , 649 , 972 , 554 , 623 , 600 , 602 , 1828 , 592 , 580 , 593 , 596 , 581 , 557 , 596 , 955 , 637 , 589 , 8627 , 397 , 506 , 527 , 366 , 417 , 469 , 369 , 272 , 406 , 278 , 378 , 399 , 403 , 300 , 405 , 404 , 238 , 329 , 432 , 241 , 228 , 0 , 47 , 298 , 238 , 185 , 279 , 2896 , 3230 , 652 , 1697 , 798 , 8342 , 4241 , 922 , 5521 , 
SimplexTableau_ESTest::test22 , 639 , 627 , 608 , 663 , 710 , 624 , 627 , 574 , 621 , 1312 , 664 , 972 , 585 , 643 , 629 , 630 , 1823 , 613 , 615 , 614 , 617 , 614 , 592 , 626 , 964 , 651 , 622 , 8614 , 428 , 538 , 559 , 358 , 453 , 508 , 353 , 305 , 446 , 276 , 417 , 436 , 435 , 333 , 438 , 438 , 279 , 367 , 468 , 274 , 248 , 47 , 0 , 339 , 279 , 220 , 305 , 2889 , 3221 , 687 , 1696 , 807 , 8325 , 4231 , 930 , 5507 , 
SimplexTableau_ESTest::test23 , 481 , 443 , 538 , 465 , 665 , 465 , 514 , 453 , 478 , 1402 , 592 , 970 , 492 , 629 , 465 , 458 , 1893 , 539 , 436 , 540 , 542 , 474 , 458 , 459 , 991 , 583 , 440 , 8720 , 262 , 372 , 413 , 331 , 253 , 374 , 347 , 281 , 240 , 299 , 214 , 237 , 239 , 284 , 241 , 260 , 114 , 206 , 277 , 117 , 283 , 298 , 339 , 0 , 114 , 218 , 159 , 2966 , 3283 , 516 , 1732 , 757 , 8433 , 4308 , 884 , 5600 , 
SimplexTableau_ESTest::test24 , 482 , 441 , 542 , 455 , 660 , 473 , 525 , 429 , 483 , 1411 , 598 , 986 , 494 , 629 , 475 , 435 , 1908 , 540 , 439 , 540 , 543 , 481 , 435 , 432 , 1006 , 593 , 429 , 8742 , 218 , 345 , 422 , 315 , 232 , 349 , 326 , 269 , 221 , 272 , 192 , 213 , 232 , 293 , 233 , 214 , 56 , 167 , 246 , 10 , 242 , 238 , 279 , 114 , 0 , 153 , 102 , 2997 , 3313 , 495 , 1753 , 769 , 8458 , 4343 , 893 , 5630 , 
SimplexTableau_ESTest::test25 , 539 , 530 , 566 , 550 , 688 , 530 , 562 , 498 , 541 , 1387 , 634 , 992 , 518 , 640 , 537 , 529 , 1864 , 566 , 520 , 566 , 572 , 538 , 509 , 524 , 998 , 620 , 519 , 8674 , 315 , 440 , 466 , 347 , 333 , 420 , 346 , 305 , 321 , 293 , 291 , 312 , 324 , 333 , 322 , 315 , 116 , 269 , 346 , 156 , 148 , 185 , 220 , 218 , 153 , 0 , 201 , 2949 , 3271 , 576 , 1721 , 774 , 8396 , 4291 , 897 , 5571 , 
SimplexTableau_ESTest::test26 , 505 , 477 , 549 , 492 , 670 , 482 , 545 , 453 , 506 , 1407 , 614 , 989 , 499 , 636 , 481 , 474 , 1901 , 541 , 460 , 541 , 546 , 506 , 466 , 470 , 1010 , 601 , 464 , 8733 , 207 , 380 , 460 , 325 , 265 , 390 , 331 , 262 , 263 , 267 , 231 , 249 , 268 , 288 , 268 , 253 , 101 , 208 , 283 , 97 , 272 , 279 , 305 , 159 , 102 , 201 , 0 , 2976 , 3298 , 526 , 1746 , 749 , 8432 , 4327 , 873 , 5616 , 
RegressionTest0::test1 , 3146 , 3147 , 2979 , 3211 , 2864 , 3024 , 2960 , 3046 , 2989 , 2700 , 2928 , 2755 , 3009 , 2924 , 3052 , 3164 , 2679 , 2949 , 3067 , 2941 , 2949 , 2980 , 3103 , 3155 , 2784 , 2923 , 3114 , 7737 , 3075 , 2981 , 3009 , 2887 , 3095 , 2985 , 2959 , 2913 , 3086 , 2957 , 3059 , 3054 , 3036 , 2894 , 3034 , 3075 , 2991 , 3047 , 3029 , 2994 , 2920 , 2896 , 2889 , 2966 , 2997 , 2949 , 2976 , 0 , 1030 , 2980 , 2204 , 2408 , 6342 , 3141 , 2268 , 4118 , 
RegressionTest0::test2 , 3430 , 3440 , 3283 , 3517 , 3172 , 3321 , 3257 , 3344 , 3290 , 3020 , 3231 , 3073 , 3326 , 3244 , 3353 , 3465 , 2953 , 3252 , 3365 , 3245 , 3256 , 3279 , 3407 , 3456 , 3104 , 3227 , 3416 , 7701 , 3400 , 3309 , 3312 , 3213 , 3418 , 3309 , 3290 , 3237 , 3411 , 3287 , 3379 , 3368 , 3356 , 3217 , 3355 , 3405 , 3310 , 3367 , 3343 , 3314 , 3247 , 3230 , 3221 , 3283 , 3313 , 3271 , 3298 , 1030 , 0 , 3298 , 2474 , 2799 , 6261 , 3177 , 2657 , 4152 , 
RegressionTest0::test3 , 454 , 431 , 588 , 400 , 694 , 469 , 560 , 463 , 522 , 1475 , 631 , 1042 , 504 , 651 , 467 , 410 , 1974 , 566 , 434 , 577 , 570 , 524 , 424 , 413 , 1077 , 617 , 413 , 8823 , 415 , 475 , 513 , 564 , 395 , 483 , 513 , 527 , 397 , 503 , 401 , 415 , 414 , 559 , 414 , 412 , 488 , 414 , 417 , 494 , 624 , 652 , 687 , 516 , 495 , 576 , 526 , 2980 , 3298 , 0 , 1695 , 625 , 8508 , 4342 , 792 , 5645 , 
RegressionTest0::test4 , 1889 , 1878 , 1776 , 1901 , 1690 , 1772 , 1721 , 1791 , 1755 , 1710 , 1698 , 1649 , 1770 , 1729 , 1776 , 1888 , 1922 , 1721 , 1795 , 1718 , 1721 , 1734 , 1849 , 1881 , 1649 , 1696 , 1833 , 8132 , 1824 , 1735 , 1750 , 1712 , 1829 , 1705 , 1748 , 1718 , 1828 , 1743 , 1807 , 1794 , 1779 , 1706 , 1778 , 1830 , 1753 , 1798 , 1801 , 1755 , 1685 , 1697 , 1696 , 1732 , 1753 , 1721 , 1746 , 2204 , 2474 , 1695 , 0 , 1478 , 6905 , 2724 , 1425 , 4007 , 
RegressionTest0::test5 , 872 , 867 , 849 , 885 , 850 , 826 , 826 , 835 , 837 , 1378 , 845 , 1004 , 831 , 838 , 839 , 886 , 1810 , 836 , 843 , 835 , 838 , 830 , 854 , 879 , 1041 , 842 , 862 , 8478 , 808 , 816 , 772 , 796 , 809 , 818 , 825 , 772 , 809 , 792 , 795 , 787 , 779 , 763 , 777 , 806 , 764 , 801 , 785 , 768 , 787 , 798 , 807 , 757 , 769 , 774 , 749 , 2408 , 2799 , 625 , 1478 , 0 , 7931 , 3958 , 203 , 5234 , 
RegressionTest0::test6 , 8621 , 8636 , 8426 , 8735 , 8295 , 8493 , 8398 , 8510 , 8449 , 7958 , 8353 , 8105 , 8478 , 8364 , 8511 , 8677 , 7761 , 8403 , 8544 , 8390 , 8401 , 8433 , 8605 , 8666 , 8108 , 8355 , 8605 , 8109 , 8569 , 8445 , 8451 , 8353 , 8607 , 8422 , 8436 , 8387 , 8599 , 8439 , 8569 , 8547 , 8526 , 8360 , 8524 , 8579 , 8458 , 8542 , 8533 , 8459 , 8349 , 8342 , 8325 , 8433 , 8458 , 8396 , 8432 , 6342 , 6261 , 8508 , 6905 , 7931 , 0 , 4433 , 7800 , 3115 , 
RegressionTest0::test7 , 4464 , 4473 , 4323 , 4548 , 4205 , 4357 , 4277 , 4377 , 4324 , 3995 , 4236 , 4074 , 4342 , 4255 , 4363 , 4512 , 3908 , 4278 , 4395 , 4270 , 4274 , 4304 , 4455 , 4503 , 4082 , 4240 , 4442 , 7755 , 4444 , 4320 , 4331 , 4265 , 4460 , 4298 , 4332 , 4274 , 4453 , 4316 , 4427 , 4409 , 4391 , 4256 , 4391 , 4447 , 4346 , 4412 , 4404 , 4343 , 4241 , 4241 , 4231 , 4308 , 4343 , 4291 , 4327 , 3141 , 3177 , 4342 , 2724 , 3958 , 4433 , 0 , 3860 , 1830 , 
RegressionTest0::test8 , 1035 , 1029 , 990 , 1048 , 973 , 971 , 970 , 976 , 982 , 1388 , 973 , 1070 , 982 , 981 , 985 , 1032 , 1813 , 978 , 983 , 977 , 980 , 965 , 1000 , 1027 , 1100 , 970 , 1008 , 8395 , 932 , 893 , 927 , 915 , 944 , 915 , 959 , 904 , 943 , 929 , 929 , 922 , 909 , 895 , 911 , 939 , 895 , 925 , 910 , 892 , 922 , 922 , 930 , 884 , 893 , 897 , 873 , 2268 , 2657 , 792 , 1425 , 203 , 7800 , 3860 , 0 , 5127 , 
RegressionTest0::test9 , 5765 , 5778 , 5595 , 5860 , 5472 , 5643 , 5558 , 5667 , 5604 , 5227 , 5508 , 5314 , 5624 , 5533 , 5656 , 5814 , 5070 , 5551 , 5686 , 5542 , 5549 , 5583 , 5752 , 5807 , 5318 , 5508 , 5738 , 7709 , 5741 , 5617 , 5621 , 5548 , 5764 , 5592 , 5624 , 5567 , 5757 , 5605 , 5728 , 5708 , 5692 , 5545 , 5691 , 5745 , 5630 , 5708 , 5701 , 5631 , 5527 , 5521 , 5507 , 5600 , 5630 , 5571 , 5616 , 4118 , 4152 , 5645 , 4007 , 5234 , 3115 , 1830 , 5127 , 0 , 
