: , RegressionTest0::test01 , RegressionTest0::test02 , RegressionTest0::test03 , RegressionTest0::test04 , RegressionTest0::test05 , RegressionTest0::test06 , RegressionTest0::test07 , RegressionTest0::test08 , RegressionTest0::test09 , RegressionTest0::test10 , RegressionTest0::test11 , RegressionTest0::test12 , RegressionTest0::test13 , RegressionTest0::test14 , RegressionTest0::test15 , RegressionTest0::test16 , RegressionTest0::test17 , RegressionTest0::test18 , RegressionTest0::test19 , RegressionTest0::test20 , RegressionTest0::test21 , RegressionTest0::test22 , RegressionTest0::test23 , RegressionTest0::test24 , RegressionTest0::test25 , RegressionTest0::test26 , RegressionTest0::test27 , RegressionTest0::test28 , RegressionTest0::test29 , RegressionTest0::test30 , RegressionTest0::test31 , RegressionTest0::test32 , RegressionTest0::test33 , RegressionTest0::test34 , SimplexSolverTest::testMath828 , SimplexSolverTest::testMath828Cycle , SimplexSolverTest::testMath781 , SimplexSolverTest::testMath713NegativeVariable , SimplexSolverTest::testMath434NegativeVariable , SimplexSolverTest::testMath434UnfeasibleSolution , SimplexSolverTest::testMath434PivotRowSelection , SimplexSolverTest::testMath434PivotRowSelection2 , SimplexSolverTest::testMath272 , SimplexSolverTest::testMath286 , SimplexSolverTest::testDegeneracy , SimplexSolverTest::testMath288 , SimplexSolverTest::testMath290GEQ , SimplexSolverTest::testMath290LEQ , SimplexSolverTest::testMath293 , SimplexSolverTest::testSimplexSolver , SimplexSolverTest::testSingleVariableAndConstraint , SimplexSolverTest::testModelWithNoArtificialVars , SimplexSolverTest::testMinimization , SimplexSolverTest::testSolutionWithNegativeDecisionVariable , SimplexSolverTest::testInfeasibleSolution , SimplexSolverTest::testUnboundedSolution , SimplexSolverTest::testRestrictVariablesToNonNegative , SimplexSolverTest::testEpsilon , SimplexSolverTest::testTrivialModel , SimplexSolverTest::testLargeModel , SimplexSolver_ESTest::test0 , SimplexSolver_ESTest::test1 , 
SimplexSolverTest::testMath434PivotRowSelection2 , 5337 , 5595 , 5372 , 5511 , 5357 , 5180 , 5018 , 5389 , 4796 , 5267 , 5961 , 5641 , 5927 , 5796 , 6007 , 5936 , 5014 , 5266 , 6005 , 5493 , 5589 , 5518 , 5313 , 5633 , 5422 , 5723 , 4803 , 5043 , 5423 , 4985 , 5279 , 5265 , 6006 , 5592 , 5643 , 13415 , 4344 , 5243 , 4823 , 5287 , 5114 , 0 , 4625 , 2891 , 5029 , 4105 , 5270 , 5616 , 4139 , 4825 , 5462 , 4831 , 4824 , 5029 , 5524 , 5610 , 3490 , 4584 , 5504 , 22325 , 5651 , 5833 , 
SimplexSolverTest::testMath272 , 1308 , 1449 , 1336 , 1430 , 1307 , 1274 , 1209 , 1373 , 1338 , 1261 , 1738 , 1482 , 1709 , 1625 , 1775 , 1717 , 1211 , 1290 , 1774 , 1393 , 1440 , 1418 , 1295 , 1473 , 1375 , 1574 , 1324 , 1212 , 1371 , 1225 , 1273 , 1261 , 1772 , 1441 , 8211 , 16519 , 769 , 1108 , 707 , 1205 , 1011 , 4625 , 0 , 2796 , 766 , 1058 , 1041 , 1388 , 6542 , 586 , 1209 , 589 , 588 , 830 , 1274 , 1370 , 2125 , 407 , 1267 , 25381 , 1506 , 1623 , 
SimplexSolverTest::testMath286 , 3638 , 3868 , 3656 , 3787 , 3648 , 3504 , 3336 , 3679 , 3154 , 3560 , 4221 , 3913 , 4188 , 4077 , 4268 , 4195 , 3341 , 3572 , 4267 , 3774 , 3865 , 3792 , 3618 , 3900 , 3714 , 4010 , 3156 , 3348 , 3710 , 3322 , 3577 , 3560 , 4267 , 3868 , 6721 , 14832 , 2700 , 3518 , 3117 , 3623 , 3443 , 2891 , 2796 , 0 , 3233 , 2370 , 3519 , 3887 , 4223 , 3015 , 3713 , 3040 , 3048 , 3270 , 3772 , 3882 , 1704 , 2816 , 3756 , 23433 , 3936 , 4096 , 
SimplexSolverTest::testDegeneracy , 867 , 1008 , 910 , 951 , 856 , 874 , 1031 , 945 , 1342 , 875 , 1188 , 1013 , 1163 , 1110 , 1225 , 1162 , 1019 , 872 , 1224 , 957 , 1004 , 944 , 869 , 1014 , 911 , 1076 , 1303 , 1011 , 936 , 1055 , 847 , 876 , 1224 , 1001 , 8605 , 16974 , 1154 , 686 , 615 , 728 , 647 , 5029 , 766 , 3233 , 0 , 1371 , 611 , 829 , 6991 , 406 , 721 , 297 , 458 , 389 , 719 , 779 , 2580 , 791 , 708 , 25917 , 1009 , 1084 , 
SimplexSolverTest::testMath288 , 1923 , 2090 , 1937 , 2033 , 1928 , 1843 , 1761 , 1959 , 1691 , 1881 , 2352 , 2123 , 2327 , 2235 , 2396 , 2332 , 1761 , 1889 , 2395 , 2028 , 2081 , 2040 , 1903 , 2108 , 1983 , 2188 , 1678 , 1777 , 1981 , 1750 , 1883 , 1879 , 2397 , 2083 , 7754 , 16038 , 1123 , 1749 , 1399 , 1788 , 1653 , 4105 , 1058 , 2370 , 1371 , 0 , 1726 , 1994 , 6085 , 1293 , 1882 , 1291 , 1289 , 1493 , 1895 , 1992 , 1664 , 1072 , 1878 , 24843 , 2126 , 2241 , 
SimplexSolverTest::testMath290GEQ , 662 , 669 , 671 , 669 , 637 , 830 , 1026 , 717 , 1406 , 711 , 879 , 679 , 852 , 808 , 914 , 859 , 1003 , 752 , 912 , 648 , 668 , 631 , 671 , 686 , 636 , 770 , 1359 , 997 , 639 , 1080 , 704 , 711 , 909 , 675 , 8876 , 17272 , 1457 , 396 , 769 , 540 , 581 , 5270 , 1041 , 3519 , 611 , 1726 , 0 , 431 , 7286 , 852 , 385 , 816 , 871 , 570 , 563 , 492 , 2859 , 1126 , 382 , 26217 , 720 , 773 , 
SimplexSolverTest::testMath290LEQ , 728 , 482 , 754 , 579 , 703 , 993 , 1213 , 745 , 1632 , 827 , 481 , 408 , 478 , 464 , 521 , 484 , 1193 , 847 , 522 , 570 , 472 , 546 , 768 , 435 , 633 , 450 , 1586 , 1181 , 662 , 1273 , 814 , 827 , 519 , 465 , 9222 , 17664 , 1754 , 601 , 1043 , 509 , 773 , 5616 , 1388 , 3887 , 829 , 1994 , 431 , 0 , 7646 , 1097 , 437 , 1078 , 1112 , 794 , 295 , 63 , 3221 , 1418 , 264 , 26631 , 450 , 439 , 
SimplexSolverTest::testMath293 , 7343 , 7614 , 7352 , 7505 , 7355 , 7162 , 6965 , 7361 , 6695 , 7261 , 8011 , 7668 , 7978 , 7836 , 8059 , 7986 , 6981 , 7249 , 8057 , 7516 , 7619 , 7530 , 7320 , 7664 , 7435 , 7757 , 6719 , 6994 , 7418 , 6914 , 7258 , 7255 , 8058 , 7621 , 5002 , 12579 , 6299 , 7269 , 6864 , 7318 , 7140 , 4139 , 6542 , 4223 , 6991 , 6085 , 7286 , 7646 , 0 , 6777 , 7483 , 6791 , 6792 , 7034 , 7542 , 7650 , 5205 , 6524 , 7532 , 21312 , 7666 , 7885 , 
SimplexSolverTest::testSimplexSolver , 1047 , 1215 , 1103 , 1179 , 1049 , 1039 , 1009 , 1147 , 1298 , 1016 , 1452 , 1221 , 1422 , 1361 , 1490 , 1428 , 998 , 1063 , 1490 , 1173 , 1189 , 1177 , 1034 , 1216 , 1134 , 1318 , 1252 , 1024 , 1145 , 1066 , 1041 , 1015 , 1490 , 1193 , 8422 , 16740 , 925 , 861 , 631 , 965 , 788 , 4825 , 586 , 3015 , 406 , 1293 , 852 , 1097 , 6777 , 0 , 917 , 135 , 201 , 463 , 988 , 1071 , 2361 , 575 , 986 , 25673 , 1251 , 1344 , 
SimplexSolverTest::testSingleVariableAndConstraint , 667 , 532 , 716 , 571 , 643 , 902 , 1095 , 714 , 1494 , 749 , 659 , 537 , 637 , 621 , 681 , 628 , 1079 , 763 , 681 , 554 , 532 , 538 , 696 , 532 , 611 , 599 , 1446 , 1070 , 621 , 1164 , 757 , 751 , 682 , 532 , 9046 , 17491 , 1592 , 475 , 881 , 565 , 599 , 5462 , 1209 , 3713 , 721 , 1882 , 385 , 437 , 7483 , 917 , 0 , 904 , 920 , 611 , 323 , 436 , 3051 , 1224 , 313 , 26449 , 543 , 561 , 
SimplexSolverTest::testModelWithNoArtificialVars , 1026 , 1197 , 1082 , 1162 , 1022 , 1010 , 1007 , 1134 , 1282 , 993 , 1441 , 1209 , 1412 , 1343 , 1477 , 1417 , 995 , 1035 , 1476 , 1159 , 1181 , 1158 , 1019 , 1198 , 1124 , 1298 , 1230 , 982 , 1127 , 1046 , 1012 , 993 , 1476 , 1177 , 8420 , 16749 , 951 , 846 , 613 , 953 , 769 , 4831 , 589 , 3040 , 297 , 1291 , 816 , 1078 , 6791 , 135 , 904 , 0 , 244 , 439 , 971 , 1027 , 2374 , 590 , 978 , 25682 , 1234 , 1325 , 
SimplexSolverTest::testMinimization , 1033 , 1200 , 1108 , 1176 , 1050 , 1018 , 1020 , 1152 , 1282 , 994 , 1445 , 1221 , 1416 , 1349 , 1490 , 1423 , 1004 , 1049 , 1488 , 1173 , 1185 , 1180 , 1021 , 1208 , 1145 , 1300 , 1248 , 997 , 1140 , 1078 , 1029 , 996 , 1490 , 1185 , 8408 , 16744 , 944 , 850 , 625 , 950 , 785 , 4824 , 588 , 3048 , 458 , 1289 , 871 , 1112 , 6792 , 201 , 920 , 244 , 0 , 482 , 996 , 1086 , 2366 , 582 , 996 , 25676 , 1235 , 1339 , 
SimplexSolverTest::testSolutionWithNegativeDecisionVariable , 830 , 940 , 878 , 919 , 830 , 872 , 1013 , 913 , 1321 , 830 , 1150 , 946 , 1124 , 1063 , 1185 , 1129 , 995 , 873 , 1185 , 909 , 927 , 907 , 839 , 950 , 886 , 1031 , 1277 , 988 , 886 , 1058 , 841 , 830 , 1186 , 931 , 8622 , 17001 , 1176 , 590 , 453 , 716 , 508 , 5029 , 830 , 3270 , 389 , 1493 , 570 , 794 , 7034 , 463 , 611 , 439 , 482 , 0 , 681 , 796 , 2619 , 844 , 678 , 25949 , 974 , 1038 , 
SimplexSolverTest::testInfeasibleSolution , 718 , 524 , 732 , 587 , 691 , 949 , 1158 , 734 , 1570 , 802 , 575 , 508 , 567 , 575 , 613 , 578 , 1140 , 812 , 614 , 584 , 512 , 558 , 742 , 509 , 632 , 555 , 1524 , 1128 , 658 , 1212 , 787 , 802 , 614 , 510 , 9118 , 17558 , 1675 , 573 , 972 , 443 , 664 , 5524 , 1274 , 3772 , 719 , 1895 , 563 , 295 , 7542 , 988 , 323 , 971 , 996 , 681 , 0 , 302 , 3129 , 1320 , 358 , 26517 , 521 , 543 , 
SimplexSolverTest::testUnboundedSolution , 733 , 483 , 750 , 572 , 700 , 993 , 1213 , 743 , 1634 , 826 , 481 , 401 , 475 , 459 , 521 , 479 , 1193 , 827 , 521 , 565 , 472 , 544 , 767 , 435 , 632 , 437 , 1580 , 1178 , 658 , 1260 , 807 , 825 , 520 , 465 , 9218 , 17665 , 1741 , 609 , 1032 , 525 , 814 , 5610 , 1370 , 3882 , 779 , 1992 , 492 , 63 , 7650 , 1071 , 436 , 1027 , 1086 , 796 , 302 , 0 , 3219 , 1411 , 266 , 26631 , 449 , 428 , 
SimplexSolverTest::testRestrictVariablesToNonNegative , 3026 , 3254 , 3053 , 3176 , 3033 , 2895 , 2755 , 3066 , 2590 , 2942 , 3579 , 3295 , 3546 , 3442 , 3625 , 3554 , 2759 , 2952 , 3623 , 3160 , 3242 , 3186 , 3002 , 3280 , 3099 , 3378 , 2594 , 2766 , 3100 , 2712 , 2952 , 2945 , 3624 , 3241 , 6900 , 15124 , 2007 , 2904 , 2491 , 2942 , 2765 , 3490 , 2125 , 1704 , 2580 , 1664 , 2859 , 3221 , 5205 , 2361 , 3051 , 2374 , 2366 , 2619 , 3129 , 3219 , 0 , 2069 , 3113 , 23933 , 3298 , 3459 , 
SimplexSolverTest::testEpsilon , 1330 , 1511 , 1383 , 1468 , 1346 , 1291 , 1251 , 1401 , 1314 , 1283 , 1779 , 1541 , 1748 , 1672 , 1824 , 1752 , 1255 , 1328 , 1823 , 1442 , 1494 , 1471 , 1325 , 1522 , 1410 , 1618 , 1280 , 1237 , 1422 , 1249 , 1311 , 1284 , 1823 , 1494 , 8168 , 16493 , 690 , 1160 , 755 , 1196 , 1053 , 4584 , 407 , 2816 , 791 , 1072 , 1126 , 1418 , 6524 , 575 , 1224 , 590 , 582 , 844 , 1320 , 1411 , 2069 , 0 , 1315 , 25360 , 1553 , 1670 , 
SimplexSolverTest::testTrivialModel , 715 , 531 , 719 , 581 , 687 , 963 , 1149 , 733 , 1542 , 802 , 614 , 497 , 594 , 580 , 636 , 580 , 1132 , 814 , 635 , 566 , 517 , 545 , 749 , 516 , 620 , 558 , 1493 , 1112 , 643 , 1204 , 795 , 801 , 636 , 504 , 9107 , 17544 , 1630 , 408 , 920 , 506 , 687 , 5504 , 1267 , 3756 , 708 , 1878 , 382 , 264 , 7532 , 986 , 313 , 978 , 996 , 678 , 358 , 266 , 3113 , 1315 , 0 , 26502 , 525 , 526 , 
SimplexSolverTest::testLargeModel , 26234 , 26580 , 26247 , 26447 , 26257 , 25999 , 25770 , 26259 , 25349 , 26135 , 27006 , 26646 , 26973 , 26820 , 27053 , 26978 , 25782 , 26123 , 27051 , 26463 , 26584 , 26479 , 26203 , 26637 , 26364 , 26733 , 25407 , 25799 , 26348 , 25715 , 26142 , 26135 , 27052 , 26589 , 20033 , 16076 , 25075 , 26184 , 25714 , 26259 , 26043 , 22325 , 25381 , 23433 , 25917 , 24843 , 26217 , 26631 , 21312 , 25673 , 26449 , 25682 , 25676 , 25949 , 26517 , 26631 , 23933 , 25360 , 26502 , 0 , 26642 , 26876 , 
SimplexSolver_ESTest::test0 , 746 , 477 , 671 , 510 , 719 , 911 , 1206 , 673 , 1622 , 833 , 513 , 437 , 508 , 387 , 525 , 498 , 1195 , 855 , 529 , 558 , 476 , 552 , 773 , 450 , 613 , 346 , 1578 , 1175 , 655 , 1262 , 832 , 834 , 528 , 479 , 9237 , 17680 , 1841 , 748 , 1183 , 706 , 881 , 5651 , 1506 , 3936 , 1009 , 2126 , 720 , 450 , 7666 , 1251 , 543 , 1234 , 1235 , 974 , 521 , 449 , 3298 , 1553 , 525 , 26642 , 0 , 283 , 
SimplexSolver_ESTest::test1 , 805 , 482 , 824 , 619 , 770 , 1071 , 1310 , 798 , 1746 , 910 , 280 , 418 , 263 , 321 , 305 , 259 , 1291 , 923 , 304 , 573 , 474 , 567 , 844 , 419 , 674 , 389 , 1699 , 1285 , 698 , 1372 , 900 , 911 , 303 , 464 , 9454 , 17905 , 1968 , 798 , 1263 , 755 , 950 , 5833 , 1623 , 4096 , 1084 , 2241 , 773 , 439 , 7885 , 1344 , 561 , 1325 , 1339 , 1038 , 543 , 428 , 3459 , 1670 , 526 , 26876 , 283 , 0 , 
The time of execution of above matrix is :94778.76734733582
