:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet,DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString,DataUtilTest::shouldNotThrowExceptionOnEmptyCharset,DataUtilTest::shouldReturnNullForIllegalCharsetNames,DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,DataUtil_ESTest::test00,DataUtil_ESTest::test01,DataUtil_ESTest::test02,DataUtil_ESTest::test03,DataUtil_ESTest::test04,DataUtil_ESTest::test05,DataUtil_ESTest::test06,DataUtil_ESTest::test07,DataUtil_ESTest::test08,DataUtil_ESTest::test09,DataUtil_ESTest::test10,DataUtil_ESTest::test11,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,RegressionTest0::test35,RegressionTest0::test36,RegressionTest0::test37,RegressionTest0::test38,RegressionTest0::test39,RegressionTest0::test40,RegressionTest0::test41,RegressionTest0::test42,RegressionTest0::test43,RegressionTest0::test44,RegressionTest0::test45,RegressionTest0::test46,RegressionTest0::test47,RegressionTest0::test48,RegressionTest0::test49,RegressionTest0::test50,RegressionTest0::test51,RegressionTest0::test52,RegressionTest0::test53,RegressionTest0::test54,RegressionTest0::test55,RegressionTest0::test56,RegressionTest0::test57,RegressionTest0::test58,RegressionTest0::test59,RegressionTest0::test60,RegressionTest0::test61,RegressionTest0::test62,RegressionTest0::test63,RegressionTest0::test64,RegressionTest0::test65,RegressionTest0::test66,RegressionTest0::test67,RegressionTest0::test68,RegressionTest0::test69,RegressionTest0::test70,RegressionTest0::test71,RegressionTest0::test72,RegressionTest0::test73,RegressionTest0::test74,RegressionTest0::test75,RegressionTest0::test76,RegressionTest0::test77,RegressionTest0::test78,RegressionTest0::test79,RegressionTest0::test80,RegressionTest0::test81,RegressionTest0::test82,RegressionTest0::test83,RegressionTest0::test84,RegressionTest0::test85,RegressionTest0::test86,
RegressionTest0::test30 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test31 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test32 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test33 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test34 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test35 ,7,6,7,5,6,7,5,6,6,6,5,6,4,7,5,9,7,7,6,7,0,2,0,2,1,0,2,0,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,0,1,0,1,1,1,1,1,0,3,1,2,9,1,1,3,1,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,0,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,0,1,2,2,1,1,19,2,2,2,
RegressionTest0::test36 ,9,8,9,8,8,9,8,8,8,8,7,8,6,9,7,9,8,9,8,9,3,4,3,2,3,3,4,3,3,3,3,2,4,3,3,3,2,3,2,2,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,0,3,4,7,3,3,2,3,76,76,4,3,3,3,3,3,2,6,3,0,3,3,5,76,3,3,3,4,3,5,4,4,2,4,3,5,3,3,4,2,2,3,3,2,2,3,3,17,4,2,1,
RegressionTest0::test37 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test38 ,5,5,5,5,5,5,5,5,4,4,3,4,4,5,3,8,6,5,5,5,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test39 ,15,14,15,14,14,15,14,14,14,14,13,14,12,15,13,13,13,15,14,15,9,10,9,7,9,9,10,9,9,9,9,7,10,9,9,9,7,9,7,8,7,9,10,9,10,9,9,9,9,9,9,9,9,9,9,7,9,10,0,9,8,6,9,71,71,10,9,9,9,9,9,8,2,9,7,9,9,2,71,9,9,9,10,9,2,10,10,7,10,9,2,9,9,10,7,8,9,9,7,7,9,9,10,10,7,8,
RegressionTest0::test40 ,7,6,7,6,6,7,6,6,6,6,5,6,4,7,5,9,7,7,6,7,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,9,0,1,3,0,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,1,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,1,1,2,2,1,1,19,2,2,2,
RegressionTest0::test41 ,7,6,7,6,6,7,6,6,6,6,5,6,4,7,5,9,7,7,6,7,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,8,1,0,2,1,77,77,2,1,1,1,1,1,1,7,1,3,1,1,6,77,1,1,1,2,1,6,2,2,2,2,1,6,1,1,2,2,1,1,1,2,2,1,1,18,2,2,2,
RegressionTest0::test42 ,9,8,9,8,8,9,8,8,8,8,7,8,6,9,7,9,8,9,8,9,3,4,3,2,3,3,4,3,3,3,3,1,4,3,3,3,1,3,1,2,1,3,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,4,6,3,2,0,3,75,75,4,3,3,3,3,3,3,5,3,2,3,3,4,75,3,3,3,4,3,4,4,4,1,4,3,4,3,3,4,1,3,3,3,1,1,3,3,16,4,1,2,
RegressionTest0::test43 ,7,6,7,6,6,7,6,6,6,6,5,6,4,7,5,9,7,7,6,7,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,9,0,1,3,0,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,1,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,1,1,2,2,1,1,19,2,2,2,
RegressionTest0::test44 ,84,83,84,83,83,84,83,83,83,83,82,83,81,84,82,82,82,84,83,84,78,79,78,77,78,78,79,78,78,78,78,76,79,78,78,78,76,78,76,77,76,78,79,78,79,78,78,78,78,78,78,78,78,78,78,76,78,79,71,78,77,75,78,0,0,79,78,78,78,78,78,77,71,78,76,78,78,71,0,77,78,78,79,78,71,79,79,76,79,78,71,78,78,79,76,77,78,78,76,76,78,78,61,79,76,77,
RegressionTest0::test45 ,84,83,84,83,83,84,83,83,83,83,82,83,81,84,82,82,82,84,83,84,78,79,78,77,78,78,79,78,78,78,78,76,79,78,78,78,76,78,76,77,76,78,79,78,79,78,78,78,78,78,78,78,78,78,78,76,78,79,71,78,77,75,78,0,0,79,78,78,78,78,78,77,71,78,76,78,78,71,0,77,78,78,79,78,71,79,79,76,79,78,71,78,78,79,76,77,78,78,76,76,78,78,61,79,76,77,
RegressionTest0::test46 ,5,5,5,5,5,5,5,5,4,4,3,4,4,5,3,8,6,5,5,5,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test47 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test48 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test49 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test50 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test51 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test52 ,7,6,7,6,6,7,6,6,6,6,5,6,4,7,5,9,7,7,6,7,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,8,1,1,3,1,77,77,2,1,1,1,1,1,0,7,1,2,1,1,6,77,1,1,1,2,1,6,2,2,2,2,1,6,1,1,2,2,0,1,1,2,2,1,1,18,2,2,2,
RegressionTest0::test53 ,14,13,14,13,13,14,13,13,13,13,12,13,11,14,12,13,12,14,13,14,8,9,8,7,8,8,9,8,8,8,8,6,9,8,8,8,6,8,6,7,6,8,9,8,9,8,8,8,8,8,8,8,8,8,8,6,8,9,2,8,7,5,8,71,71,9,8,8,8,8,8,7,0,8,6,8,8,1,71,8,8,8,9,8,1,9,9,6,9,8,1,8,8,9,6,7,8,8,6,6,8,8,12,9,6,7,
RegressionTest0::test54 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test55 ,9,8,9,8,8,9,8,8,8,8,7,8,6,9,7,9,8,9,8,9,3,4,3,2,3,3,4,3,3,3,3,2,4,3,3,3,2,3,2,2,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,0,3,4,7,3,3,2,3,76,76,4,3,3,3,3,3,2,6,3,0,3,3,5,76,3,3,3,4,3,5,4,4,2,4,3,5,3,3,4,2,2,3,3,2,2,3,3,17,4,2,1,
RegressionTest0::test56 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test57 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test58 ,13,12,13,12,12,13,12,12,12,12,11,12,10,13,11,12,11,13,12,13,7,8,7,6,7,7,8,7,7,7,7,5,8,7,7,7,5,7,5,6,5,7,8,7,8,7,7,7,7,7,7,7,7,7,7,5,7,8,2,7,6,4,7,71,71,8,7,7,7,7,7,6,1,7,5,7,7,0,71,7,7,7,8,7,0,8,8,5,8,7,0,7,7,8,5,6,7,7,5,5,7,7,12,8,5,6,
RegressionTest0::test59 ,84,83,84,83,83,84,83,83,83,83,82,83,81,84,82,82,82,84,83,84,78,79,78,77,78,78,79,78,78,78,78,76,79,78,78,78,76,78,76,77,76,78,79,78,79,78,78,78,78,78,78,78,78,78,78,76,78,79,71,78,77,75,78,0,0,79,78,78,78,78,78,77,71,78,76,78,78,71,0,77,78,78,79,78,71,79,79,76,79,78,71,78,78,79,76,77,78,78,76,76,78,78,61,79,76,77,
RegressionTest0::test60 ,7,6,7,6,6,7,6,6,6,6,5,6,4,7,5,9,7,7,6,7,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,9,1,1,3,1,77,77,2,1,1,1,1,1,1,8,1,3,1,1,7,77,0,1,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,1,1,2,2,1,1,19,2,2,2,
RegressionTest0::test61 ,7,6,7,5,6,7,5,6,6,6,5,6,4,7,5,9,7,7,6,7,0,2,0,2,1,0,2,0,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,0,1,0,1,1,1,1,1,0,3,1,2,9,1,1,3,1,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,0,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,0,1,2,2,1,1,19,2,2,2,
RegressionTest0::test62 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test63 ,5,5,5,5,5,5,5,5,4,4,3,4,4,5,3,8,6,5,5,5,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test64 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test65 ,13,12,13,12,12,13,12,12,12,12,11,12,10,13,11,12,11,13,12,13,7,8,7,6,7,7,8,7,7,7,7,5,8,7,7,7,5,7,5,6,5,7,8,7,8,7,7,7,7,7,7,7,7,7,7,5,7,8,2,7,6,4,7,71,71,8,7,7,7,7,7,6,1,7,5,7,7,0,71,7,7,7,8,7,0,8,8,5,8,7,0,7,7,8,5,6,7,7,5,5,7,7,12,8,5,6,
RegressionTest0::test66 ,5,5,5,5,5,5,5,5,4,4,3,4,4,5,3,8,6,5,5,5,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test67 ,5,5,5,5,5,5,5,5,4,4,3,4,4,5,3,8,6,5,5,5,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test68 ,8,7,8,7,7,8,7,7,7,7,6,7,5,8,6,9,7,8,7,8,2,3,2,1,2,2,3,2,2,2,2,0,3,2,2,2,0,2,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,1,2,76,76,3,2,2,2,2,2,2,6,2,2,2,2,5,76,2,2,2,3,2,5,3,3,0,3,2,5,2,2,3,0,2,2,2,0,0,2,2,17,3,0,1,
RegressionTest0::test69 ,5,5,5,5,5,5,5,5,4,4,3,4,4,5,3,8,6,5,5,5,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test70 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test71 ,13,12,13,12,12,13,12,12,12,12,11,12,10,13,11,12,11,13,12,13,7,8,7,6,7,7,8,7,7,7,7,5,8,7,7,7,5,7,5,6,5,7,8,7,8,7,7,7,7,7,7,7,7,7,7,5,7,8,2,7,6,4,7,71,71,8,7,7,7,7,7,6,1,7,5,7,7,0,71,7,7,7,8,7,0,8,8,5,8,7,0,7,7,8,5,6,7,7,5,5,7,7,12,8,5,6,
RegressionTest0::test72 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test73 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test74 ,5,5,5,5,5,5,5,5,4,4,3,4,4,5,3,8,6,5,5,5,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test75 ,8,7,8,7,7,8,7,7,7,7,6,7,5,8,6,9,7,8,7,8,2,3,2,1,2,2,3,2,2,2,2,0,3,2,2,2,0,2,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,1,2,76,76,3,2,2,2,2,2,2,6,2,2,2,2,5,76,2,2,2,3,2,5,3,3,0,3,2,5,2,2,3,0,2,2,2,0,0,2,2,17,3,0,1,
RegressionTest0::test76 ,7,6,7,6,6,7,6,6,6,6,5,6,4,7,5,9,7,7,6,7,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,8,1,1,3,1,77,77,2,1,1,1,1,1,0,7,1,2,1,1,6,77,1,1,1,2,1,6,2,2,2,2,1,6,1,1,2,2,0,1,1,2,2,1,1,18,2,2,2,
RegressionTest0::test77 ,7,6,7,5,6,7,5,6,6,6,5,6,4,7,5,9,7,7,6,7,0,2,0,2,1,0,2,0,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,0,1,0,1,1,1,1,1,0,3,1,2,9,1,1,3,1,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,0,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,0,1,2,2,1,1,19,2,2,2,
RegressionTest0::test78 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test79 ,8,7,8,7,7,8,7,7,7,7,6,7,5,8,6,9,7,8,7,8,2,3,2,1,2,2,3,2,2,2,2,0,3,2,2,2,0,2,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,1,2,76,76,3,2,2,2,2,2,2,6,2,2,2,2,5,76,2,2,2,3,2,5,3,3,0,3,2,5,2,2,3,0,2,2,2,0,0,2,2,17,3,0,1,
RegressionTest0::test80 ,8,7,8,7,7,8,7,7,7,7,6,7,5,8,6,9,7,8,7,8,2,3,2,1,2,2,3,2,2,2,2,0,3,2,2,2,0,2,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,1,2,76,76,3,2,2,2,2,2,2,6,2,2,2,2,5,76,2,2,2,3,2,5,3,3,0,3,2,5,2,2,3,0,2,2,2,0,0,2,2,17,3,0,1,
RegressionTest0::test81 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test82 ,6,5,6,5,5,6,5,5,5,5,4,5,3,6,4,8,6,6,5,6,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test83 ,25,24,25,24,24,25,24,24,24,24,23,24,22,25,23,23,23,25,24,25,19,20,19,17,19,19,20,19,19,19,19,17,20,19,19,19,17,19,17,18,17,19,20,19,20,19,19,19,19,19,19,19,19,19,19,17,19,20,10,19,18,16,19,61,61,20,19,19,19,19,19,18,12,19,17,19,19,12,61,19,19,19,20,19,12,20,20,17,20,19,12,19,19,20,17,18,19,19,17,17,19,19,0,20,17,18,
RegressionTest0::test84 ,5,5,5,5,5,5,5,5,4,4,3,4,4,5,3,8,6,5,5,5,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test85 ,8,7,8,7,7,8,7,7,7,7,6,7,5,8,6,9,7,8,7,8,2,3,2,1,2,2,3,2,2,2,2,0,3,2,2,2,0,2,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,1,2,76,76,3,2,2,2,2,2,2,6,2,2,2,2,5,76,2,2,2,3,2,5,3,3,0,3,2,5,2,2,3,0,2,2,2,0,0,2,2,17,3,0,1,
