Class::Test,Parser:35, Parser:67, Parser:68, Parser:70, Parser:72, Parser:74, Parser:76, Parser:89, Parser:110, Parser:120, Parser:127, Parser:129, Parser:137, Parser:145, Parser:151, Parser:159, Parser:161, Parser:173, Parser:176, Parser:178, Parser:183, Parser:190, Parser:216, Parser:221, Parser:229, Parser:236, Parser:242, Parser:245, Parser:248, Parser:256, Parser:257, Parser:269, Parser:273, Parser:275, Parser:280, Parser:281, 
RegressionTest5::test2667, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2668, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2669, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2670, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2671, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2672, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2673, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2674, 0.5,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2675, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2676, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2677, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2678, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2679, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2680, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2681, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2682, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2683, 1,1,0.5,0.5,0.5,1,1,0,0.5,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2684, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2685, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2686, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2687, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2688, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,
RegressionTest5::test2689, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2690, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2691, 0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2692, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2693, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2694, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2695, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2696, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2697, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2698, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2699, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2700, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,
RegressionTest5::test2701, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2702, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2703, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2704, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2705, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2706, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,
RegressionTest5::test2707, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2708, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2709, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2710, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2711, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2712, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0,0.5,0,0,0,1,0.5,0,0,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,1,1,
RegressionTest5::test2713, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2714, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2715, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2716, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2717, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2718, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2719, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2720, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2721, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2722, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2723, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2724, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2725, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2726, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2727, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2728, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2729, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2730, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2731, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2732, 0.5,1,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2733, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2734, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2735, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2736, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2737, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2738, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2739, 0.5,1,0.5,0.5,0.5,1,1,0,1,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2740, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2741, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2742, 0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2743, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2744, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2745, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2746, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2747, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2748, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2749, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2750, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2751, 0.5,1,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0,0,
RegressionTest5::test2752, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2753, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2754, 1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2755, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2756, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2757, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2758, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2759, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2760, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2761, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2762, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2763, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2764, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2765, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2766, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2767, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2768, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2769, 0.5,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2770, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2771, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2772, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2773, 0.5,1,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2774, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2775, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2776, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2777, 0.5,1,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0,0,
RegressionTest5::test2778, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2779, 0.5,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2780, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2781, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2782, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2783, 0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2784, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2785, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2786, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest5::test2787, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest5::test2788, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
