Class::Test,Whitelist:187, Whitelist:210, Whitelist:214, Whitelist:244, Whitelist:294, Whitelist:300, Whitelist:306, Whitelist:322, Whitelist:323, Whitelist:324, Whitelist:327, Whitelist:333, Whitelist:342, Whitelist:344, Whitelist:347, Whitelist:349, Whitelist:359, Whitelist:361, Whitelist:422, Whitelist:428, Whitelist:429, Whitelist:430, Whitelist:432, Whitelist:433, Whitelist:434, 
RegressionTest0::test022, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test023, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test024, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test025, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test026, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test027, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test028, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test029, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test030, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test031, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test032, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test033, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test034, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test035, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test036, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test037, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test038, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test039, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test040, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test041, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test042, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test043, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test044, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test045, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test046, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test047, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test048, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test049, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test050, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test051, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test052, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test053, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test054, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test055, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test056, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test057, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test058, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test059, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test060, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test061, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test062, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test063, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test064, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test065, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test066, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test067, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test068, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test069, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test070, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test071, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test072, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test073, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test074, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test075, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test076, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test077, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test078, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test079, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test080, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test081, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test082, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test083, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test084, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test085, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test086, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test087, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test088, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test089, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test090, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test091, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test092, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test093, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test094, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test095, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test096, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test097, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test098, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test099, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test100, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test101, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test102, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test103, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test104, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test105, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test106, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test107, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test108, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test109, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test110, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test111, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test112, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test113, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test114, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test115, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test116, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test117, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test118, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test119, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test120, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test121, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test122, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test123, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test124, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test125, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test126, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test127, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test128, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test129, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test130, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test131, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test132, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test133, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test134, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test135, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test136, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test137, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test138, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test139, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test140, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test141, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test142, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test143, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test144, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test145, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test146, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test147, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test148, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test149, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test150, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test151, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
RegressionTest0::test152, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test153, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test154, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test155, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test156, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test157, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test158, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test159, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test160, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test161, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test162, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test163, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test164, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test165, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test166, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test167, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test168, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test169, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test170, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test171, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test172, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test173, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test174, 1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test175, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test176, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test177, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test178, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test179, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test180, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test181, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test182, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test183, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test184, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test185, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test186, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test187, 1,1,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test188, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test189, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test190, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test191, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test192, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test193, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test194, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test195, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test196, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test197, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test198, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test199, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test200, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test201, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest0::test202, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test203, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test204, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test205, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test206, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test207, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
